compound_id,assay_id,value,qualifier,units,n,source_table,source_note
16,cyno_iv_t_half,10.0,=,h,,T4,"Rat 2.5 mg/kg IV, 5 mg/kg PO; cyno 2.5 and 5, both dose adjusted"
16,cyno_po_auc,80964.0,=,nM.h,,T4,"Rat 2.5 mg/kg IV, 5 mg/kg PO; cyno 2.5 and 5, both dose adjusted"
16,cyno_po_t_half,7.0,=,h,,T4,"Rat 2.5 mg/kg IV, 5 mg/kg PO; cyno 2.5 and 5, both dose adjusted"
16,cyno_po_f,38.0,=,%,,T4,"Rat 2.5 mg/kg IV, 5 mg/kg PO; cyno 2.5 and 5, both dose adjusted"
17,jak1_ic50,0.46,=,nM,,T4,"Rat 2 mg/kg IV, 4 mg/kg PO; cyno oral only, 4 mg/kg"
17,jak2_ic50,5.5,=,nM,,T4,"Rat 2 mg/kg IV, 4 mg/kg PO; cyno oral only, 4 mg/kg"
17,jak2_jak1_fold,12.0,=,fold,,T4,"Rat 2 mg/kg IV, 4 mg/kg PO; cyno oral only, 4 mg/kg"
17,ina6_ic50,60.0,=,nM,,T4,"Rat 2 mg/kg IV, 4 mg/kg PO; cyno oral only, 4 mg/kg"
17,wb_il6,135.0,=,nM,,T4,"Rat 2 mg/kg IV, 4 mg/kg PO; cyno oral only, 4 mg/kg"
17,wb_tpo,417.0,=,nM,,T4,"Rat 2 mg/kg IV, 4 mg/kg PO; cyno oral only, 4 mg/kg"
17,wb_tpo_il6_fold,3.0,=,fold,,T4,"Rat 2 mg/kg IV, 4 mg/kg PO; cyno oral only, 4 mg/kg"
17,caco2_papp,4.6,=,1e-6 cm/s,,T4,"Rat 2 mg/kg IV, 4 mg/kg PO; cyno oral only, 4 mg/kg"
17,proj_h_cl,0.8,=,L/h/kg,,T4,"Rat 2 mg/kg IV, 4 mg/kg PO; cyno oral only, 4 mg/kg"
17,proj_h_f,35.0,=,%,,T4,"Rat 2 mg/kg IV, 4 mg/kg PO; cyno oral only, 4 mg/kg"
17,rat_cl_hbf,8.0,=,%,,T4,"Rat 2 mg/kg IV, 4 mg/kg PO; cyno oral only, 4 mg/kg"
17,rat_iv_t_half,2.4,=,h,,T4,"Rat 2 mg/kg IV, 4 mg/kg PO; cyno oral only, 4 mg/kg"
17,rat_po_auc,28559.0,=,nM.h,,T4,"Rat 2 mg/kg IV, 4 mg/kg PO; cyno oral only, 4 mg/kg"
17,rat_po_t_half,2.5,=,h,,T4,"Rat 2 mg/kg IV, 4 mg/kg PO; cyno oral only, 4 mg/kg"
17,rat_po_f,70.0,=,%,,T4,"Rat 2 mg/kg IV, 4 mg/kg PO; cyno oral only, 4 mg/kg"
17,cyno_po_auc,5275.0,=,nM.h,,T4,"Rat 2 mg/kg IV, 4 mg/kg PO; cyno oral only, 4 mg/kg"
17,cyno_po_t_half,4.0,=,h,,T4,"Rat 2 mg/kg IV, 4 mg/kg PO; cyno oral only, 4 mg/kg"
18,jak1_ic50,0.25,=,nM,,T4,"Rat 2 mg/kg IV, 5 mg/kg PO; cyno 2.5 and 5"
18,jak2_ic50,6.1,=,nM,,T4,"Rat 2 mg/kg IV, 5 mg/kg PO; cyno 2.5 and 5"
18,jak2_jak1_fold,25.0,=,fold,,T4,"Rat 2 mg/kg IV, 5 mg/kg PO; cyno 2.5 and 5"
18,ina6_ic50,70.0,=,nM,,T4,"Rat 2 mg/kg IV, 5 mg/kg PO; cyno 2.5 and 5"
18,wb_il6,207.0,=,nM,,T4,"Rat 2 mg/kg IV, 5 mg/kg PO; cyno 2.5 and 5"
18,wb_tpo,1167.0,=,nM,,T4,"Rat 2 mg/kg IV, 5 mg/kg PO; cyno 2.5 and 5"
18,wb_tpo_il6_fold,6.0,=,fold,,T4,"Rat 2 mg/kg IV, 5 mg/kg PO; cyno 2.5 and 5"
