# Table 4 of Shvartsbart et al. 2022: phenyl ring SAR and general kinase selectivity.
# R3 and R4 substitute the benzamide ring; R5 is the pyrazole N-substituent.
# Compound 20 carries an m-pyridyl amide rather than a substituted benzamide, so its R3 cell
# is empty in the published table: that blank is real and is not a transcription gap.
# The V555L and V555M columns are likewise empty for 20, 5, 21, 23 and 25.
entry	compound_id	r3	r4	r5	fgfr3_ic50	fgfr1_ic50	fgfr3_v555l_ic50	fgfr3_v555m_ic50	baf3_ic50	flt3_ic50	trka_ic50	kit_ic50	pdgfrb_ic50
1	19	H	H	Me	0.9	36	0.5		15	25	118	82	66
2	20		H	Me	2.2	147			969	1343	7304	384	370
3	5	H	H	Me	4.6	86			33	12	58	33	38
4	21	H	F	Me	2.6	60			14	8	11	180	348
5	22	Me	H	i-Pr	1.3	39	5.3	3.2	5.4	114	363	22	126
6	23	Me	F	Me	0.7	46			12	97	293	1657	1386
7	24	CHF2	F	Me	0.9	49	2.6	0.9	13	98	443	619	800
8	25	F	F	Me	0.6	21			6.8	155	285	1449	1741
