# Table 9 of Shvartsbart et al. 2022: compound 29 against the three approved pan-FGFR drugs.
# This is the table that makes the campaign's case: the approved drugs are equipotent on
# FGFR1 (the isoform to avoid) and lose 50-fold or more on the gatekeeper mutants, while 29
# spares FGFR1 and holds the mutants.
# Infigratinib's FGFR3 V555L value is absent from the published row.
entry	compound_id	fgfr1_ic50	fgfr2_ic50	fgfr3_ic50	fgfr4_ic50	fgfr3_v555l_ic50	fgfr3_v555m_ic50
1	29	21	1.0	0.5	145	2.7	6.1
2	1	0.2	0.2	0.6	1.9	21	68
3	2	0.9	0.4	1.7	27	373	201
4	3	2.1	2.7	115	3036		352
