compound_id,assay_id,value,qualifier,units,n,source_table,source_note
27,fgfr1_fold,43.0,=,fold,,T7,
27,fgfr3_v555l_ic50,1.8,=,nM,,T7,
27,fgfr3_v555m_ic50,5.2,=,nM,,T7,
27,baf3_ic50,7.2,=,nM,,T7,
27,caco2_papp,1.5,=,1e-6 cm/s,,T7,
27,h_cl,1.0,=,L/h/kg,,T7,
27,cyp3a4_ic50,9.0,=,uM,,T7,
27,fassif_solubility,17.0,=,ug/mL,,T7,
27,sgf_solubility,400.0,>,ug/mL,,T7,
28,fgfr3_ic50,2.6,=,nM,,T7,
28,fgfr1_ic50,54.0,=,nM,,T7,
28,fgfr1_fold,21.0,=,fold,,T7,
28,baf3_ic50,22.0,=,nM,,T7,
28,caco2_papp,0.6,=,1e-6 cm/s,,T7,
28,h_cl,1.0,=,L/h/kg,,T7,
28,cyp3a4_ic50,25.0,>,uM,,T7,
29,fgfr3_ic50,0.5,=,nM,,T7,
29,fgfr1_ic50,21.0,=,nM,,T7,
29,fgfr1_fold,42.0,=,fold,,T7,
29,fgfr3_v555l_ic50,2.7,=,nM,,T7,
29,fgfr3_v555m_ic50,6.1,=,nM,,T7,
29,baf3_ic50,5.5,=,nM,,T7,
29,wb_ic50,177.0,=,nM,,T7,
29,caco2_papp,2.0,=,1e-6 cm/s,,T7,
29,h_cl,0.5,=,L/h/kg,,T7,
29,cyp3a4_ic50,25.0,>,uM,,T7,
29,fassif_solubility,18.0,=,ug/mL,,T7,
29,sgf_solubility,679.0,=,ug/mL,,T7,
29,rat_iv_hbf,35.0,=,%,,T8,
29,rat_iv_vdss,1.6,=,L/kg,,T8,
29,rat_iv_t_half,1.7,=,h,,T8,
29,rat_po_cmax,2303.0,=,nM,,T8,
29,rat_po_auc,5108.0,=,nM.h,,T8,
29,rat_po_f,82.0,=,%,,T8,
29,fgfr1_ic50,21.0,=,nM,,T9,
29,fgfr2_ic50,1.0,=,nM,,T9,
29,fgfr3_ic50,0.5,=,nM,,T9,
29,fgfr4_ic50,145.0,=,nM,,T9,
29,fgfr3_v555l_ic50,2.7,=,nM,,T9,
29,fgfr3_v555m_ic50,6.1,=,nM,,T9,
1,fgfr1_ic50,0.2,=,nM,,T9,
1,fgfr2_ic50,0.2,=,nM,,T9,
1,fgfr3_ic50,0.6,=,nM,,T9,
1,fgfr4_ic50,1.9,=,nM,,T9,
1,fgfr3_v555l_ic50,21.0,=,nM,,T9,
1,fgfr3_v555m_ic50,68.0,=,nM,,T9,
2,fgfr1_ic50,0.9,=,nM,,T9,
2,fgfr2_ic50,0.4,=,nM,,T9,
2,fgfr3_ic50,1.7,=,nM,,T9,
2,fgfr4_ic50,27.0,=,nM,,T9,
2,fgfr3_v555l_ic50,373.0,=,nM,,T9,
2,fgfr3_v555m_ic50,201.0,=,nM,,T9,
3,fgfr1_ic50,2.1,=,nM,,T9,
3,fgfr2_ic50,2.7,=,nM,,T9,
3,fgfr3_ic50,115.0,=,nM,,T9,
3,fgfr4_ic50,3036.0,=,nM,,T9,
3,fgfr3_v555m_ic50,352.0,=,nM,,T9,
