compound_id,assay_id,value,qualifier,units,n,source_table,source_note
12,h_cl,0.6,=,L/h/kg,,T2,
12,caco2_pm,1.2,=,1e-6 cm/s,,T2,
12,ff,33.0,=,%,,T2,
13,cdk2_e1_ic50,0.39,=,nM,,T2,
13,cdk1_b1_ic50,48.0,=,nM,,T2,
13,cdk1_fold,120.0,=,fold,,T2,
13,cdk4_d1_ic50,15.0,=,nM,,T2,
13,cdk4_fold,38.0,=,fold,,T2,
13,cdk6_d3_ic50,49.0,=,nM,,T2,
13,cdk6_fold,130.0,=,fold,,T2,
13,cdk7_h_ic50,79.0,=,nM,,T2,
13,cdk7_fold,200.0,=,fold,,T2,
13,cdk9_t1_ic50,4778.0,=,nM,,T2,
13,cdk9_fold,12000.0,=,fold,,T2,
13,cov318_pRb,41.0,=,nM,,T2,
13,ovcar3_pNPM,201.0,=,nM,,T2,
13,wb_pRb,585.0,=,nM,,T2,
13,sgf_solubility,1.0,<,ug/mL,,T2,
13,h_cl,0.5,=,L/h/kg,,T2,
13,caco2_pm,19.0,=,1e-6 cm/s,,T2,
13,ff,5.9,=,%,,T2,
14,cdk2_e1_ic50,0.27,=,nM,,T2,
14,cdk1_b1_ic50,41.0,=,nM,,T2,
14,cdk1_fold,150.0,=,fold,,T2,
14,cdk4_d1_ic50,10.0,=,nM,,T2,
14,cdk4_fold,37.0,=,fold,,T2,
14,cdk6_d3_ic50,28.0,=,nM,,T2,
14,cdk6_fold,100.0,=,fold,,T2,
14,cdk7_h_ic50,96.0,=,nM,,T2,
14,cdk7_fold,360.0,=,fold,,T2,
14,cdk9_t1_ic50,4332.0,=,nM,,T2,
14,cdk9_fold,16000.0,=,fold,,T2,
14,cov318_pRb,8.5,=,nM,,T2,
14,ovcar3_pNPM,57.0,=,nM,,T2,
14,wb_pRb,334.0,=,nM,,T2,
14,sgf_solubility,322.0,=,ug/mL,,T2,
14,h_cl,0.6,=,L/h/kg,,T2,
14,caco2_pm,5.4,=,1e-6 cm/s,,T2,
14,ff,7.6,=,%,,T2,
15,cdk2_e1_ic50,0.26,=,nM,,T2,
15,cdk1_b1_ic50,76.0,=,nM,,T2,
15,cdk1_fold,290.0,=,fold,,T2,
15,cdk4_d1_ic50,4.3,=,nM,,T2,
15,cdk4_fold,17.0,=,fold,,T2,
15,cdk6_d3_ic50,16.0,=,nM,,T2,
15,cdk6_fold,62.0,=,fold,,T2,
15,cdk7_h_ic50,1452.0,=,nM,,T2,
15,cdk7_fold,5600.0,=,fold,,T2,
15,cdk9_t1_ic50,3169.0,=,nM,,T2,
15,cdk9_fold,12000.0,=,fold,,T2,
15,cov318_pRb,14.0,=,nM,,T2,
15,ovcar3_pNPM,247.0,=,nM,,T2,
15,wb_pRb,115.0,=,nM,,T2,
15,sgf_solubility,5.0,=,ug/mL,,T2,
15,h_cl,0.5,<,L/h/kg,,T2,
15,caco2_pm,0.6,=,1e-6 cm/s,,T2,
16,cdk2_e1_ic50,0.33,=,nM,,T2,
16,cdk1_b1_ic50,91.0,=,nM,,T2,
16,cdk1_fold,280.0,=,fold,,T2,
16,cdk4_d1_ic50,4.7,=,nM,,T2,
16,cdk4_fold,14.0,=,fold,,T2,
16,cdk6_d3_ic50,16.0,=,nM,,T2,
16,cdk6_fold,48.0,=,fold,,T2,
16,cdk7_h_ic50,868.0,=,nM,,T2,
16,cdk7_fold,2600.0,=,fold,,T2,
16,cdk9_t1_ic50,4553.0,=,nM,,T2,
16,cdk9_fold,14000.0,=,fold,,T2,
16,cov318_pRb,14.0,=,nM,,T2,
16,ovcar3_pNPM,195.0,=,nM,,T2,
16,wb_pRb,167.0,=,nM,,T2,
16,sgf_solubility,1.0,<,ug/mL,,T2,
16,h_cl,0.8,=,L/h/kg,,T2,
16,caco2_pm,18.0,=,1e-6 cm/s,,T2,
16,ff,3.5,=,%,,T2,
17,cdk2_e1_ic50,0.29,=,nM,,T2,
17,cdk1_b1_ic50,64.0,=,nM,,T2,
17,cdk1_fold,220.0,=,fold,,T2,
17,cdk4_d1_ic50,18.0,=,nM,,T2,
17,cdk4_fold,62.0,=,fold,,T2,
17,cdk6_d3_ic50,44.0,=,nM,,T2,
17,cdk6_fold,150.0,=,fold,,T2,
17,cdk7_h_ic50,470.0,=,nM,,T2,
17,cdk7_fold,1600.0,=,fold,,T2,
17,cdk9_t1_ic50,4455.0,=,nM,,T2,
17,cdk9_fold,15000.0,=,fold,,T2,
17,cov318_pRb,18.0,=,nM,,T2,
17,ovcar3_pNPM,112.0,=,nM,,T2,
17,wb_pRb,398.0,=,nM,,T2,
17,sgf_solubility,400.0,>,ug/mL,,T2,
17,h_cl,0.5,=,L/h/kg,,T2,
17,caco2_pm,13.0,=,1e-6 cm/s,,T2,
17,ff,12.0,=,%,,T2,
18,cdk2_e1_ic50,0.65,=,nM,,T2,
18,cdk1_b1_ic50,126.0,=,nM,,T2,
18,cdk1_fold,190.0,=,fold,,T2,
18,cdk4_d1_ic50,17.0,=,nM,,T2,
18,cdk4_fold,26.0,=,fold,,T2,
18,cdk6_d3_ic50,62.0,=,nM,,T2,
18,cdk6_fold,95.0,=,fold,,T2,
18,cdk7_h_ic50,3815.0,=,nM,,T2,
18,cdk7_fold,5900.0,=,fold,,T2,
18,cdk9_t1_ic50,2640.0,=,nM,,T2,
18,cdk9_fold,4100.0,=,fold,,T2,
18,cov318_pRb,52.0,=,nM,,T2,
18,ovcar3_pNPM,375.0,=,nM,,T2,
18,wb_pRb,146.0,=,nM,,T2,
18,sgf_solubility,41.0,=,ug/mL,,T2,
18,h_cl,0.5,<,L/h/kg,,T2,
18,caco2_pm,4.3,=,1e-6 cm/s,,T2,
18,ff,35.0,=,%,,T2,
12,rat_po_auc,3498.0,=,nM.h,,T3,Cassette study. 0.5 mg/kg IV and 3 mg/kg PO.
12,rat_po_cmax,412.0,=,nM,,T3,Cassette study. 0.5 mg/kg IV and 3 mg/kg PO.
12,rat_po_f,69.0,=,%,,T3,Cassette study. 0.5 mg/kg IV and 3 mg/kg PO.
12,rat_iv_hbf,36.0,=,%,,T3,Cassette study. 0.5 mg/kg IV and 3 mg/kg PO.
12,rat_iv_t_half,3.8,=,h,,T3,Cassette study. 0.5 mg/kg IV and 3 mg/kg PO.
12,rat_iv_vdss,5.7,=,L/kg,,T3,Cassette study. 0.5 mg/kg IV and 3 mg/kg PO.
12,cyno_po_auc,923.0,=,nM.h,,T3,Cassette study. 0.5 mg/kg IV and 1.5 mg/kg PO.
12,cyno_po_cmax,93.0,=,nM,,T3,Cassette study. 0.5 mg/kg IV and 1.5 mg/kg PO.
12,cyno_po_f,20.0,=,%,,T3,Cassette study. 0.5 mg/kg IV and 1.5 mg/kg PO.
12,cyno_iv_hbf,26.0,=,%,,T3,Cassette study. 0.5 mg/kg IV and 1.5 mg/kg PO.
12,cyno_iv_t_half,6.0,=,h,,T3,Cassette study. 0.5 mg/kg IV and 1.5 mg/kg PO.
12,cyno_iv_vdss,4.4,=,L/kg,,T3,Cassette study. 0.5 mg/kg IV and 1.5 mg/kg PO.
14,rat_po_auc,6950.0,=,nM.h,,T3,Cassette study. 0.43 mg/kg IV and 3 mg/kg PO.
14,rat_po_cmax,813.0,=,nM,,T3,Cassette study. 0.43 mg/kg IV and 3 mg/kg PO.
14,rat_po_f,48.0,=,%,,T3,Cassette study. 0.43 mg/kg IV and 3 mg/kg PO.
14,rat_iv_hbf,12.0,=,%,,T3,Cassette study. 0.43 mg/kg IV and 3 mg/kg PO.
14,rat_iv_t_half,3.3,=,h,,T3,Cassette study. 0.43 mg/kg IV and 3 mg/kg PO.
