# Table 2 of Hummel et al. 2024: SAR to balance potency, ADME and physicochemical properties.
# Transcribed by hand from the published table image. Every off-target column is a value/fold pair,
# for example CDK1 "32/110x" = 32 nM, 110-fold over CDK2. Folds are kept as published, not recomputed.
# Blank means the cell is empty in the published table.
entry	compound_id	cdk2_e1_ic50	cdk1_b1_ic50	cdk1_fold	cdk4_d1_ic50	cdk4_fold	cdk6_d3_ic50	cdk6_fold	cdk7_h_ic50	cdk7_fold	cdk9_t1_ic50	cdk9_fold	cov318_pRb	ovcar3_pNPM	wb_pRb	sgf_solubility	h_cl	caco2_pm	ff
1	10	0.3	32	110	5	17	15	50	139	460	1007	3400	14	45	299	<1	0.5	7.1	1.2
2	11	0.53	43	81	11	21	58	109	33	62	3132	5900	25		263	94	0.7	3.3	7.8
3	12	0.42	120	290	8.1	19	31	74	333	790	2966	7100	18	225	112	221	0.6	1.2	33
4	13	0.39	48	120	15	38	49	130	79	200	4778	12000	41	201	585	<1	0.5	19	5.9
5	14	0.27	41	150	10	37	28	100	96	360	4332	16000	8.5	57	334	322	0.6	5.4	7.6
6	15	0.26	76	290	4.3	17	16	62	1452	5600	3169	12000	14	247	115	5	<0.5	0.6
7	16	0.33	91	280	4.7	14	16	48	868	2600	4553	14000	14	195	167	<1	0.8	18	3.5
8	17	0.29	64	220	18	62	44	150	470	1600	4455	15000	18	112	398	>400	0.5	13	12
9	18	0.65	126	190	17	26	62	95	3815	5900	2640	4100	52	375	146	41	<0.5	4.3	35
